episode,score,total_reward,epsilon,avg_loss
652,0,12.5,0.01,0.473821
653,0,12.5,0.01,0.513457
654,0,12.6,0.01,0.630918
655,0,12.5,0.01,0.666857
656,1,15.7,0.01,0.489047
657,0,13.6,0.01,0.590385
658,0,12.5,0.01,0.396366
659,0,12.5,0.01,0.377194
660,0,12.5,0.01,0.538689
661,0,7.8,0.01,0.33592
662,0,11.3,0.01,0.46006
663,0,12.5,0.01,0.505941
664,0,14.5,0.01,0.437851
665,0,12.5,0.01,0.428615
666,1,29.3,0.01,0.457236
667,0,12.5,0.01,0.359523
668,0,12.8,0.01,0.356662
669,0,12.5,0.01,0.370072
670,0,12.5,0.01,0.3918
671,0,13.4,0.01,0.345622
672,0,12.7,0.01,0.455335
673,0,14.1,0.01,0.445545
674,0,12.6,0.01,0.433721
675,0,12.9,0.01,0.333936
676,0,12.5,0.01,0.494597
677,0,6.4,0.01,0.426245
678,0,12.5,0.01,0.399302
679,0,12.5,0.01,0.362304
680,0,12.5,0.01,0.289441
681,0,9.8,0.01,0.423261
682,0,12.5,0.01,0.421008
683,0,12.5,0.01,0.32506
684,0,14.3,0.01,0.322989
685,0,12.5,0.01,0.313345
686,0,12.5,0.01,0.391259
687,0,12.5,0.01,0.383647
688,0,13.7,0.01,0.352748
689,0,12.5,0.01,0.398755
690,0,12.5,0.01,0.313471
691,0,12.5,0.01,0.282425
692,0,13.0,0.01,0.265252
693,0,12.5,0.01,0.288631
694,0,14.2,0.01,0.215414
695,0,12.5,0.01,0.231951
696,0,12.8,0.01,0.247337
697,0,13.6,0.01,0.223639
698,0,14.4,0.01,0.195176
699,0,13.8,0.01,0.18053
700,0,12.5,0.01,0.147728
701,0,14.3,0.01,0.176249
702,0,13.9,0.01,0.16556
703,0,13.3,0.01,0.154242
704,0,14.3,0.01,0.167947
705,0,2.5,0.01,0.142657
706,0,12.6,0.01,0.165149
707,1,28.6,0.01,0.154469
708,0,12.7,0.01,0.182712
709,0,2.5,0.01,0.135642
710,0,12.5,0.01,0.183569
711,0,2.5,0.01,0.162565
712,0,2.5,0.01,0.180571
713,0,12.6,0.01,0.236138
714,0,14.5,0.01,0.168767
715,0,2.5,0.01,0.097232
716,0,12.5,0.01,0.167527
717,0,12.5,0.01,0.166466
718,0,13.0,0.01,0.211902
719,0,5.5,0.01,0.250201
720,0,2.5,0.01,0.330525
721,0,2.5,0.01,0.134679
722,0,2.5,0.01,0.299161
723,0,2.5,0.01,0.294336
724,0,2.5,0.01,0.398128
725,0,5.7,0.01,0.21619
726,0,2.5,0.01,0.242027
727,0,2.5,0.01,0.300763
728,1,30.2,0.01,0.270178
729,0,2.5,0.01,0.397358
730,0,12.5,0.01,0.346491
731,0,2.5,0.01,0.342881
732,1,28.6,0.01,0.264463
733,1,28.6,0.01,0.247828
734,0,14.3,0.01,0.294872
735,0,2.5,0.01,0.277191
736,0,13.6,0.01,0.249073
737,0,12.5,0.01,0.232264
738,0,13.0,0.01,0.285191
739,0,13.7,0.01,0.29053
740,0,12.5,0.01,0.305122
741,1,30.1,0.01,0.283129
742,0,2.5,0.01,0.231048
743,0,2.5,0.01,0.478796
744,0,2.5,0.01,0.316604
745,0,2.5,0.01,0.376872
746,0,12.5,0.01,0.401145
747,0,2.5,0.01,0.225391
748,0,12.5,0.01,0.361404
749,3,47.9,0.01,0.290381
750,2,44.6,0.01,0.270409
751,0,12.5,0.01,0.394241
752,0,12.5,0.01,0.303452
753,1,28.6,0.01,0.368355
754,0,14.2,0.01,0.253467
755,1,28.6,0.01,0.296696
756,0,12.5,0.01,0.32162
757,0,12.5,0.01,0.241246
758,0,12.5,0.01,0.227529
759,0,12.5,0.01,0.214683
760,0,12.5,0.01,0.245733
761,0,12.5,0.01,0.231028
762,1,28.6,0.01,0.347892
763,0,12.5,0.01,0.32867
764,0,12.5,0.01,0.287599
765,1,28.7,0.01,0.252988
766,0,12.5,0.01,0.286238
767,0,13.1,0.01,0.257976
768,0,13.3,0.01,0.250499
769,0,12.5,0.01,0.213761
770,3,61.9,0.01,0.30264
771,0,12.5,0.01,0.241731
772,1,20.0,0.01,0.335312
773,0,13.4,0.01,0.34279
774,0,12.5,0.01,0.359887
775,0,11.8,0.01,0.261396
776,1,30.5,0.01,0.285467
777,0,9.1,0.01,0.300098
778,1,20.4,0.01,0.294336
779,0,4.5,0.01,0.317505
780,0,3.2,0.01,0.392634
781,0,14.3,0.01,0.302089
782,0,10.9,0.01,0.399563
783,0,9.5,0.01,0.212487
784,1,28.6,0.01,0.344552
785,0,12.5,0.01,0.356179
786,0,12.5,0.01,0.265496
787,0,9.3,0.01,0.322166
788,0,12.5,0.01,0.229942
789,0,12.5,0.01,0.253176
790,0,13.2,0.01,0.336426
791,0,8.3,0.01,0.282949
792,0,12.5,0.01,0.274026
793,0,10.8,0.01,0.347488
794,0,11.1,0.01,0.352013
795,0,8.7,0.01,0.25452
